16:31:13.041 [http-nio-8443-exec-5] INFO  com.app.registration.FileUploadServlet[FileUploadServlet.java:69] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doPost : File uploaded sucessfully : /Applications/NetBeans/apache-tomcat-8.0.27/wtpwebapps/TestApplication//uploadFiles/Pradeep_12.jpg
16:31:13.042 [http-nio-8443-exec-5] INFO  com.app.registration.FileUploadServlet[FileUploadServlet.java:71] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doPost : Request from FileUploadServlet to accountUpdate.jsp
16:31:17.221 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : DBConnection Open
16:31:17.222 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : Retrive accout details
16:31:17.223 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
16:31:17.234 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : DBConnection Close
16:31:56.309 [http-nio-8443-exec-5] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=11a5bd92d3b902d24ecc6069749265e19b34fea3, ipAddress=172.20.36.118, username=Anonymous - doGet : Request from LoginServlet to login.jsp
16:33:54.302 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Anonymous - doPost : Request from login.jsp to validate login
16:33:54.311 [http-nio-8443-exec-1] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Anonymous - Requested User : Pra
16:33:54.318 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Anonymous - User validated sucessfully
16:33:54.318 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
16:33:54.327 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:37] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - Hello, user
16:33:54.327 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:40] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : DBConnection Open
16:33:54.351 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:42] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : Retrive todo list
16:33:54.355 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:44] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : Request from TodoServlet to todoList.jsp
16:33:54.364 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:57] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : DBConnection Close
16:33:59.037 [http-nio-8443-exec-2] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : DBConnection Open
16:33:59.038 [http-nio-8443-exec-2] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : Retrive accout details
16:33:59.040 [http-nio-8443-exec-2] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
16:33:59.065 [http-nio-8443-exec-2] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=d6cbf1fd1cdbc63f034def2958e670958baa0793, ipAddress=172.20.36.131, username=Pra - doGet : DBConnection Close
16:37:29.106 [http-nio-8443-exec-7] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=Anonymous - doGet : Request from LoginServlet to login.jsp
16:37:48.509 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=Anonymous - doPost : Request from login.jsp to validate login
16:37:48.517 [http-nio-8443-exec-6] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=Anonymous - Requested User : pradeep
16:37:48.518 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=Anonymous - User validated sucessfully
16:37:48.519 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
16:37:48.530 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:37] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=pradeep - Hello, user
16:37:48.530 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:40] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=pradeep - doGet : DBConnection Open
16:37:48.544 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:42] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=pradeep - doGet : Retrive todo list
16:37:48.545 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:44] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=pradeep - doGet : Request from TodoServlet to todoList.jsp
16:37:48.555 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:57] session=d5d544aa823c1ecd12cb5a6f3f455d94a9f809dd, ipAddress=172.20.36.131, username=pradeep - doGet : DBConnection Close
16:39:18.313 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=Anonymous - doPost : Request from login.jsp to validate login
16:39:18.321 [http-nio-8443-exec-1] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=Anonymous - Requested User : pradeep
16:39:18.322 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=Anonymous - User validated sucessfully
16:39:18.323 [http-nio-8443-exec-1] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
16:39:18.331 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:37] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=pradeep - Hello, user
16:39:18.332 [http-nio-8443-exec-6] TRACE com.app.todo.TodoList[TodoList.java:40] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=pradeep - doGet : DBConnection Open
16:39:18.341 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:42] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=pradeep - doGet : Retrive todo list
16:39:18.342 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:44] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=pradeep - doGet : Request from TodoServlet to todoList.jsp
16:39:18.353 [http-nio-8443-exec-6] TRACE com.app.todo.TodoList[TodoList.java:57] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.131, username=pradeep - doGet : DBConnection Close
16:41:16.969 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:37] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.118, username=pradeep - Hello, user
16:41:16.971 [http-nio-8443-exec-6] TRACE com.app.todo.TodoList[TodoList.java:40] session=3b546d8e642b6f909bd1cf50a6f4e2366c36cad4, ipAddress=172.20.36.118, username=pradeep - doGet : DBConnection Open
